year,season,season_link,winner,actor,actor_link,role,role_link,play,play_link
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Philip Seymour Hoffman,https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman,Austin,,True West,https://en.wikipedia.org/wiki/True_West_(play)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,David Suchet,https://en.wikipedia.org/wiki/David_Suchet,Antonio Salieri,https://en.wikipedia.org/wiki/Antonio_Salieri,Amadeus,https://en.wikipedia.org/wiki/Amadeus_(play)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Gary Sinise,https://en.wikipedia.org/wiki/Gary_Sinise,Randle P. McMurphy,https://en.wikipedia.org/wiki/Randle_McMurphy,One Flew Over the Cuckoo's Nest,https://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(play)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Conleth Hill,https://en.wikipedia.org/wiki/Conleth_Hill,Charlie Conlon,,Stones in His Pockets,https://en.wikipedia.org/wiki/Stones_in_His_Pockets
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Brian Stokes Mitchell,https://en.wikipedia.org/wiki/Brian_Stokes_Mitchell,King,,King Hedley II,https://en.wikipedia.org/wiki/King_Hedley_II
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Richard Easton,https://en.wikipedia.org/wiki/Richard_Easton,"A. E. Housman, aged 77",https://en.wikipedia.org/wiki/A._E._Housman,The Invention of Love,https://en.wikipedia.org/wiki/The_Invention_of_Love
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Sean Campion,https://en.wikipedia.org/wiki/Sean_Campion,Jake Quinn,,Stones in His Pockets,https://en.wikipedia.org/wiki/Stones_in_His_Pockets
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Jeffrey Wright,https://en.wikipedia.org/wiki/Jeffrey_Wright_(actor),Lincoln,,Topdog/Underdog,https://en.wikipedia.org/wiki/Topdog/Underdog
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Alan Rickman,https://en.wikipedia.org/wiki/Alan_Rickman,Elyot Chase,,Private Lives,https://en.wikipedia.org/wiki/Private_Lives
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Alan Bates,https://en.wikipedia.org/wiki/Alan_Bates,Vassily Semyonitch Kuzovkin,,Fortune's Fool,https://en.wikipedia.org/wiki/Fortune%27s_Fool
