year,season,season_link,winner,actress,actress_link,musical,musical_link,character,character_link
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Elisabeth Welch,https://en.wikipedia.org/wiki/Elisabeth_Welch,Jerome Kern Goes to Hollywood,,Various Characters,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Jane Summerhays,https://en.wikipedia.org/wiki/Jane_Summerhays,Me and My Girl,,Jaqueline 'Jackie' Carstone,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Judy Kuhn,https://en.wikipedia.org/wiki/Judy_Kuhn,Les Misérables,,Cosette,https://en.wikipedia.org/wiki/Cosette
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,Frances Ruffelle,https://en.wikipedia.org/wiki/Frances_Ruffelle,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),Éponine,https://en.wikipedia.org/wiki/%C3%89ponine
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Jane Connell,https://en.wikipedia.org/wiki/Jane_Connell,Me and My Girl,https://en.wikipedia.org/wiki/Me_and_My_Girl,Duchess Maria,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Judy Kaye,https://en.wikipedia.org/wiki/Judy_Kaye,The Phantom of the Opera,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical),Carlotta Guidicelli,https://en.wikipedia.org/wiki/Carlotta_(The_Phantom_of_the_Opera)
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Leleti Khumalo,https://en.wikipedia.org/wiki/Leleti_Khumalo,Sarafina!,https://en.wikipedia.org/wiki/Sarafina!_(musical),Sarafina,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Alyson Reed,https://en.wikipedia.org/wiki/Alyson_Reed,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),Sally Bowles,https://en.wikipedia.org/wiki/Sally_Bowles
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Regina Resnik,https://en.wikipedia.org/wiki/Regina_Resnik,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),Fraulein Schneider,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Faith Prince,https://en.wikipedia.org/wiki/Faith_Prince,Jerome Robbins' Broadway,,Ma / Tessie / Company,
