year,season,season_link,winner,actor,actor_link,role,play,play_link,ref,ref_link,role_link
1976,1976,/wiki/30th_Tony_Awards,True,Edward Herrmann,https://en.wikipedia.org/wiki/Edward_Herrmann,Frank Gardner,Mrs. Warren's Profession,https://en.wikipedia.org/wiki/Mrs._Warren%27s_Profession,[5],https://en.wikipedia.org#cite_note-1976_Awards-5,
1976,1976,/wiki/30th_Tony_Awards,False,Barry Bostwick,https://en.wikipedia.org/wiki/Barry_Bostwick,Joe,They Knew What They Wanted,https://en.wikipedia.org/wiki/They_Knew_What_They_Wanted_(play),[5],https://en.wikipedia.org#cite_note-1976_Awards-5,
1976,1976,/wiki/30th_Tony_Awards,False,Gabriel Dell,https://en.wikipedia.org/wiki/Gabriel_Dell,Fred Santora,Lamppost Reunion,,[5],https://en.wikipedia.org#cite_note-1976_Awards-5,
1976,1976,/wiki/30th_Tony_Awards,False,Daniel Seltzer,https://en.wikipedia.org/wiki/Daniel_Seltzer,Cohn,Knock Knock,https://en.wikipedia.org/wiki/Knock_Knock_(play),[5],https://en.wikipedia.org#cite_note-1976_Awards-5,
1977,1977,/wiki/31st_Tony_Awards,False,Joe Fields,,First Sergeant Tower,The Basic Training of Pavlo Hummel,https://en.wikipedia.org/wiki/The_Basic_Training_of_Pavlo_Hummel,[34],https://en.wikipedia.org#cite_note-1977_Awards-36,
1977,1977,/wiki/31st_Tony_Awards,True,Jonathan Pryce,https://en.wikipedia.org/wiki/Jonathan_Pryce,Gethin Price,Comedians,https://en.wikipedia.org/wiki/Comedians_(play),[34],https://en.wikipedia.org#cite_note-1977_Awards-36,
1977,1977,/wiki/31st_Tony_Awards,False,Bob Dishy,https://en.wikipedia.org/wiki/Bob_Dishy,Abner Truckle,Sly Fox,https://en.wikipedia.org/wiki/Sly_Fox,[34],https://en.wikipedia.org#cite_note-1977_Awards-36,
1977,1977,/wiki/31st_Tony_Awards,False,Laurence Luckinbill,https://en.wikipedia.org/wiki/Laurence_Luckinbill,Brian,The Shadow Box,https://en.wikipedia.org/wiki/The_Shadow_Box,[34],https://en.wikipedia.org#cite_note-1977_Awards-36,
1978,1978,/wiki/32nd_Tony_Awards,True,Lester Rawlins,https://en.wikipedia.org/wiki/Lester_Rawlins,Drumm,Da,https://en.wikipedia.org/wiki/Da_(play),[35],https://en.wikipedia.org#cite_note-1978_Awards-37,
1978,1978,/wiki/32nd_Tony_Awards,False,Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,Zeke,The Mighty Gents,,[35],https://en.wikipedia.org#cite_note-1978_Awards-37,
1978,1978,/wiki/32nd_Tony_Awards,False,Victor Garber,https://en.wikipedia.org/wiki/Victor_Garber,Clifford Anderson,Deathtrap,https://en.wikipedia.org/wiki/Deathtrap_(play),[35],https://en.wikipedia.org#cite_note-1978_Awards-37,
1978,1978,/wiki/32nd_Tony_Awards,False,Cliff Gorman,https://en.wikipedia.org/wiki/Cliff_Gorman,Leo Schneider,Chapter Two,https://en.wikipedia.org/wiki/Chapter_Two_(play),[35],https://en.wikipedia.org#cite_note-1978_Awards-37,
1979,1979,/wiki/33rd_Tony_Awards,False,Bob Balaban,https://en.wikipedia.org/wiki/Bob_Balaban,Óssip,The Inspector General,https://en.wikipedia.org/wiki/The_Government_Inspector,[36],https://en.wikipedia.org#cite_note-1979_Awards-38,
1979,1979,/wiki/33rd_Tony_Awards,False,Joseph Maher,https://en.wikipedia.org/wiki/Joseph_Maher,The Trick Cyclist,Spokesong,,[36],https://en.wikipedia.org#cite_note-1979_Awards-38,
1979,1979,/wiki/33rd_Tony_Awards,True,Michael Gough,https://en.wikipedia.org/wiki/Michael_Gough,Ernest,Bedroom Farce,https://en.wikipedia.org/wiki/Bedroom_Farce_(play),[36],https://en.wikipedia.org#cite_note-1979_Awards-38,
1979,1979,/wiki/33rd_Tony_Awards,False,Edward James Olmos,https://en.wikipedia.org/wiki/Edward_James_Olmos,El Pachuco,Zoot Suit,https://en.wikipedia.org/wiki/Zoot_Suit_(play),[36],https://en.wikipedia.org#cite_note-1979_Awards-38,
1980,1980,/wiki/34th_Tony_Awards,False,David Dukes,https://en.wikipedia.org/wiki/David_Dukes,Horst,Bent,https://en.wikipedia.org/wiki/Bent_(play),[37],https://en.wikipedia.org#cite_note-1980_Awards-39,
1980,1980,/wiki/34th_Tony_Awards,False,Joseph Maher,https://en.wikipedia.org/wiki/Joseph_Maher,Geoffrey Carson,Night and Day,https://en.wikipedia.org/wiki/Night_and_Day_(play),[37],https://en.wikipedia.org#cite_note-1980_Awards-39,
1980,1980,/wiki/34th_Tony_Awards,False,Earle Hyman,https://en.wikipedia.org/wiki/Earle_Hyman,Oscar,The Lady from Dubuque,https://en.wikipedia.org/wiki/The_Lady_from_Dubuque,[37],https://en.wikipedia.org#cite_note-1980_Awards-39,
1980,1980,/wiki/34th_Tony_Awards,True,David Rounds,https://en.wikipedia.org/wiki/David_Rounds,Homer Bolton,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven,[37],https://en.wikipedia.org#cite_note-1980_Awards-39,
