year,season,season_link,winner,choreographer,choreographer_link,production,production_link
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Rob Ashford,https://en.wikipedia.org/wiki/Rob_Ashford,Thoroughly Modern Millie,https://en.wikipedia.org/wiki/Thoroughly_Modern_Millie_(musical)
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,John Carrafa,https://en.wikipedia.org/wiki/John_Carrafa,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,John Carrafa,https://en.wikipedia.org/wiki/John_Carrafa,Urinetown,https://en.wikipedia.org/wiki/Urinetown
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Susan Stroman,https://en.wikipedia.org/wiki/Susan_Stroman,Oklahoma!,https://en.wikipedia.org/wiki/Oklahoma!
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Twyla Tharp,https://en.wikipedia.org/wiki/Twyla_Tharp,Movin' Out,https://en.wikipedia.org/wiki/Movin%27_Out_(musical)
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Robert Longbottom,https://en.wikipedia.org/wiki/Robert_Longbottom,Flower Drum Song,https://en.wikipedia.org/wiki/Flower_Drum_Song
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Jerry Mitchell,https://en.wikipedia.org/wiki/Jerry_Mitchell,Hairspray,https://en.wikipedia.org/wiki/Hairspray_(musical)
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Melinda Roy,,Urban Cowboy,https://en.wikipedia.org/wiki/Urban_Cowboy_(musical)
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,Kathleen Marshall,https://en.wikipedia.org/wiki/Kathleen_Marshall,Wonderful Town,https://en.wikipedia.org/wiki/Wonderful_Town
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Wayne Cilento,https://en.wikipedia.org/wiki/Wayne_Cilento,Wicked,https://en.wikipedia.org/wiki/Wicked_(musical)
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Farah KhanandAnthony Van Laast,https://en.wikipedia.org/wiki/Farah_Khan,Bombay Dreams,https://en.wikipedia.org/wiki/Bombay_Dreams
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Jerry Mitchell,https://en.wikipedia.org/wiki/Jerry_Mitchell,Never Gonna Dance,https://en.wikipedia.org/wiki/Never_Gonna_Dance
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Casey Nicholaw,https://en.wikipedia.org/wiki/Casey_Nicholaw,Monty Python's Spamalot,https://en.wikipedia.org/wiki/Spamalot
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Jerry Mitchell,https://en.wikipedia.org/wiki/Jerry_Mitchell,Dirty Rotten Scoundrels,https://en.wikipedia.org/wiki/Dirty_Rotten_Scoundrels_(musical)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Wayne Cilento,https://en.wikipedia.org/wiki/Wayne_Cilento,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Jerry Mitchell,https://en.wikipedia.org/wiki/Jerry_Mitchell,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Kathleen Marshall,https://en.wikipedia.org/wiki/Kathleen_Marshall,The Pajama Game,https://en.wikipedia.org/wiki/The_Pajama_Game
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Rob Ashford,https://en.wikipedia.org/wiki/Rob_Ashford,The Wedding Singer,https://en.wikipedia.org/wiki/The_Wedding_Singer
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Donald Bryd,,The Color Purple,https://en.wikipedia.org/wiki/The_Color_Purple_(musical)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Casey Nicholaw,https://en.wikipedia.org/wiki/Casey_Nicholaw,The Drowsy Chaperone,https://en.wikipedia.org/wiki/The_Drowsy_Chaperone
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Bill T. Jones,https://en.wikipedia.org/wiki/Bill_T._Jones,Spring Awakening,https://en.wikipedia.org/wiki/Spring_Awakening_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Rob Ashford,https://en.wikipedia.org/wiki/Rob_Ashford,Curtains,https://en.wikipedia.org/wiki/Curtains_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Matthew BourneandStephen Mear,https://en.wikipedia.org/wiki/Matthew_Bourne,Mary Poppins,https://en.wikipedia.org/wiki/Mary_Poppins_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Jerry Mitchell,https://en.wikipedia.org/wiki/Jerry_Mitchell,Legally Blonde,https://en.wikipedia.org/wiki/Legally_Blonde_(musical)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Andy Blankenbuehler,https://en.wikipedia.org/wiki/Andy_Blankenbuehler,In the Heights,https://en.wikipedia.org/wiki/In_the_Heights
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Rob Ashford,https://en.wikipedia.org/wiki/Rob_Ashford,Cry-Baby,https://en.wikipedia.org/wiki/Cry-Baby_(musical)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Christopher Gattelli,https://en.wikipedia.org/wiki/Christopher_Gattelli,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Dan Knechtges,https://en.wikipedia.org/wiki/Dan_Knechtges,Xanadu,https://en.wikipedia.org/wiki/Xanadu_(musical)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Randy Skinner,https://en.wikipedia.org/wiki/Randy_Skinner,White Christmas,https://en.wikipedia.org/wiki/White_Christmas_(musical)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Andy Blankenbuehler,https://en.wikipedia.org/wiki/Andy_Blankenbuehler,9 to 5,https://en.wikipedia.org/wiki/9_to_5_(musical)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Karole Armitage,https://en.wikipedia.org/wiki/Karole_Armitage,Hair,https://en.wikipedia.org/wiki/Hair_(musical)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Peter Darling,https://en.wikipedia.org/wiki/Peter_Darling,Billy Elliot the Musical,https://en.wikipedia.org/wiki/Billy_Elliot_the_Musical
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Bill T. Jones,https://en.wikipedia.org/wiki/Bill_T._Jones,Fela!,https://en.wikipedia.org/wiki/Fela!
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Rob Ashford,https://en.wikipedia.org/wiki/Rob_Ashford,"Promises, Promises","https://en.wikipedia.org/wiki/Promises,_Promises_(musical)"
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Lynne Page,,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
