year,season,season_link,winner,actor,actor_link,musical,musical_link,character,character_link
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Levi Kreis,https://en.wikipedia.org/wiki/Levi_Kreis,Million Dollar Quartet,https://en.wikipedia.org/wiki/Million_Dollar_Quartet_(musical),Jerry Lee Lewis,https://en.wikipedia.org/wiki/Jerry_Lee_Lewis
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Kevin Chamberlin,https://en.wikipedia.org/wiki/Kevin_Chamberlin,The Addams Family,https://en.wikipedia.org/wiki/The_Addams_Family_(musical),Uncle Fester,https://en.wikipedia.org/wiki/Uncle_Fester
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Robin de Jesús,https://en.wikipedia.org/wiki/Robin_de_Jes%C3%BAs,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),Jacob,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Christopher Fitzgerald,https://en.wikipedia.org/wiki/Christopher_Fitzgerald_(actor),Finian's Rainbow,https://en.wikipedia.org/wiki/Finian%27s_Rainbow,Og,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Bobby Steggert,https://en.wikipedia.org/wiki/Bobby_Steggert,Ragtime,https://en.wikipedia.org/wiki/Ragtime_(musical),Younger Brother,
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Rory O'Malley,https://en.wikipedia.org/wiki/Rory_O%27Malley,The Book of Mormon,https://en.wikipedia.org/wiki/The_Book_of_Mormon_(musical),Elder McKinley /Moroni,https://en.wikipedia.org/wiki/Moroni_(Book_of_Mormon_prophet)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Forrest McClendon,https://en.wikipedia.org/wiki/Forrest_McClendon,The Scottsboro Boys,,Mr. Tambo,
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Adam Godley,https://en.wikipedia.org/wiki/Adam_Godley,Anything Goes,https://en.wikipedia.org/wiki/Anything_Goes,Lord Evelyn Oakleigh,
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,John Larroquette,https://en.wikipedia.org/wiki/John_Larroquette,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical),J.B. Biggley,
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Colman Domingo,https://en.wikipedia.org/wiki/Colman_Domingo,The Scottsboro Boys,https://en.wikipedia.org/wiki/The_Scottsboro_Boys_(musical),Mr. Bones,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Michael McGrath,https://en.wikipedia.org/wiki/Michael_McGrath_(actor),Nice Work If You Can Get It,https://en.wikipedia.org/wiki/Nice_Work_If_You_Can_Get_It_(musical),Cookie McGee,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Phillip Boykin,https://en.wikipedia.org/wiki/Phillip_Boykin,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess,Crown,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Michael Cerveris,https://en.wikipedia.org/wiki/Michael_Cerveris,Evita,https://en.wikipedia.org/wiki/Evita_(musical),Juan Perón,https://en.wikipedia.org/wiki/Juan_Per%C3%B3n
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,David Alan Grier,https://en.wikipedia.org/wiki/David_Alan_Grier,Porgy and Bess,,Sporting Life,
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Josh Young,https://en.wikipedia.org/wiki/Josh_Young,Jesus Christ Superstar,https://en.wikipedia.org/wiki/Jesus_Christ_Superstar,Judas Iscariot,https://en.wikipedia.org/wiki/Judas_Iscariot
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Will Chase,https://en.wikipedia.org/wiki/Will_Chase,The Mystery of Edwin Drood,https://en.wikipedia.org/wiki/Drood,John Jasper / Mr. Clive Paget,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Terrence Mann,https://en.wikipedia.org/wiki/Terrence_Mann,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical),King Charles,https://en.wikipedia.org/wiki/Charlemagne
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Charl Brown,,Motown: The Musical,https://en.wikipedia.org/wiki/Motown:_The_Musical,Smokey Robinson,https://en.wikipedia.org/wiki/Smokey_Robinson
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Gabriel Ebert,https://en.wikipedia.org/wiki/Gabriel_Ebert,Matilda the Musical,https://en.wikipedia.org/wiki/Matilda_the_Musical,Mr. Wormwood,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Keith Carradine,https://en.wikipedia.org/wiki/Keith_Carradine,Hands on a Hardbody,https://en.wikipedia.org/wiki/Hands_on_a_Hardbody_(musical),JD Drew,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,James Monroe Iglehart,https://en.wikipedia.org/wiki/James_Monroe_Iglehart,Aladdin,https://en.wikipedia.org/wiki/Aladdin_(2011_musical),The Genie,https://en.wikipedia.org/wiki/Genie_(Disney_character)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Danny Burstein,https://en.wikipedia.org/wiki/Danny_Burstein,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),Herr Schultz,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Nick Cordero,https://en.wikipedia.org/wiki/Nick_Cordero,Bullets Over Broadway,https://en.wikipedia.org/wiki/Bullets_Over_Broadway,Cheech,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Joshua Henry,https://en.wikipedia.org/wiki/Joshua_Henry,Violet,https://en.wikipedia.org/wiki/Violet_(musical),Flick,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Jarrod Spector,https://en.wikipedia.org/wiki/Jarrod_Spector,Beautiful: The Carole King Musical,https://en.wikipedia.org/wiki/Beautiful:_The_Carole_King_Musical,Barry Mann,https://en.wikipedia.org/wiki/Barry_Mann
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Christian Borle,https://en.wikipedia.org/wiki/Christian_Borle,Something Rotten!,https://en.wikipedia.org/wiki/Something_Rotten!,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Andy Karl,https://en.wikipedia.org/wiki/Andy_Karl,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,Bruce Granit,
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Brad Oscar,https://en.wikipedia.org/wiki/Brad_Oscar,Something Rotten!,,Nostradamus,https://en.wikipedia.org/wiki/Nostradamus
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Brandon Uranowitz,https://en.wikipedia.org/wiki/Brandon_Uranowitz,An American in Paris,https://en.wikipedia.org/wiki/An_American_in_Paris_(musical),Adam Hochberg,
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Max von Essen,https://en.wikipedia.org/wiki/Max_von_Essen,An American in Paris,https://en.wikipedia.org/wiki/An_American_in_Paris_(musical),Henri Baurel,
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Christopher Jackson,https://en.wikipedia.org/wiki/Christopher_Jackson_(actor),Hamilton,,George Washington,https://en.wikipedia.org/wiki/George_Washington
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Jonathan Groff,https://en.wikipedia.org/wiki/Jonathan_Groff,Hamilton,,King George III,https://en.wikipedia.org/wiki/King_George_III
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Christopher Fitzgerald,https://en.wikipedia.org/wiki/Christopher_Fitzgerald_(actor),Waitress,https://en.wikipedia.org/wiki/Waitress_(musical),Ogie Anhorn,
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Daveed Diggs,https://en.wikipedia.org/wiki/Daveed_Diggs,Hamilton,https://en.wikipedia.org/wiki/Hamilton_(musical),Marquis de Lafayette/Thomas Jefferson,https://en.wikipedia.org/wiki/Marquis_de_Lafayette
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Brandon Victor Dixon,https://en.wikipedia.org/wiki/Brandon_Victor_Dixon,Shuffle Along,"https://en.wikipedia.org/wiki/Shuffle_Along,_or,_the_Making_of_the_Musical_Sensation_of_1921_and_All_That_Followed",Eubie Blake,https://en.wikipedia.org/wiki/Eubie_Blake
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Gavin Creel,https://en.wikipedia.org/wiki/Gavin_Creel,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",Cornelius Hackl,
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Mike Faist,https://en.wikipedia.org/wiki/Mike_Faist,Dear Evan Hansen,https://en.wikipedia.org/wiki/Dear_Evan_Hansen,Connor Murphy,
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Andrew Rannells,https://en.wikipedia.org/wiki/Andrew_Rannells,Falsettos,https://en.wikipedia.org/wiki/Falsettos,Whizzer Brown,
